x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe,random_deadline_vio,norm_deadline_vio,qoe_deadline_vio,exhaustive_deadline_vio,ga_deadline_vio,random_semantic_vio,norm_semantic_vio,qoe_semantic_vio,exhaustive_semantic_vio,ga_semantic_vio
-20,2.6912e+06,2.75631e+06,2.71367e+06,2.87265e+06,2.84541e+06,5.15787,5.6392,3.73531,5.03164,4.99166,0.32,0.38,0.1425,0.305,0.3,1,1,1,0.9975,0.9975
-15,2.64616e+06,2.79717e+06,2.81371e+06,2.90902e+06,2.93025e+06,3.4749,4.01529,2.61412,3.57461,3.57433,0.11,0.1775,0.0025,0.1225,0.1225,1,1,1,1,1
-10,2.84088e+06,2.90849e+06,3.21891e+06,3.05362e+06,3.03015e+06,2.69407,2.71421,2.59315,2.65323,2.65311,0.0125,0.015,0,0.0075,0.0075,1,1,1,1,1
-5,3.15447e+06,3.10046e+06,3.29865e+06,3.25084e+06,3.3122e+06,2.59363,2.59342,2.59373,2.613,2.61304,0,0,0,0.0025,0.0025,1,1,1,1,1
0,3.5073e+06,3.44733e+06,3.84348e+06,3.78604e+06,3.79353e+06,2.59384,2.59322,2.5935,2.59311,2.59285,0,0,0,0,0,1,1,1,1,1
