x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe,random_deadline_vio,norm_deadline_vio,qoe_deadline_vio,exhaustive_deadline_vio,ga_deadline_vio,random_semantic_vio,norm_semantic_vio,qoe_semantic_vio,exhaustive_semantic_vio,ga_semantic_vio
-20,2.65732e+06,2.81528e+06,2.78448e+06,2.83656e+06,2.87944e+06,5.0467,5.74308,3.82879,5.18118,5.1547,0.30625,0.393125,0.154375,0.323125,0.32,0.999375,0.999375,0.999375,0.999375,0.99875
-15,2.75864e+06,2.7989e+06,2.84672e+06,2.912e+06,2.91314e+06,3.51226,4.10561,2.63908,3.57188,3.57685,0.115,0.18875,0.005625,0.1225,0.123125,0.99875,1,1,0.99875,0.99875
-10,2.86349e+06,2.88724e+06,3.13429e+06,3.06781e+06,3.02854e+06,2.63896,2.6714,2.59327,2.638,2.64073,0.005625,0.01,0,0.00625,0.00625,1,0.99875,1,0.9975,0.99875
-5,3.13616e+06,3.12446e+06,3.40964e+06,3.34484e+06,3.35224e+06,2.59243,2.5894,2.59352,2.59665,2.59668,0,0,0,0.000625,0.000625,0.999375,0.998125,1,0.999375,0.999375
0,3.62163e+06,3.48204e+06,3.97784e+06,3.88787e+06,3.88281e+06,2.59343,2.59193,2.59322,2.5929,2.59271,0,0,0,0,0,1,0.999375,1,1,1
