x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe
-20,3.209e+06,3.72299e+06,3.69518e+06,3.68333e+06,3.61589e+06,6.16886,6.65069,5.19888,6.02916,6.05349
-15,3.45853e+06,3.68603e+06,3.8385e+06,3.80251e+06,3.88861e+06,5.27944,5.43766,5.00907,5.21457,5.16159
-10,3.41051e+06,3.86445e+06,4.12703e+06,3.67786e+06,3.77147e+06,5.05374,4.98648,4.95101,5.03213,4.99971
-5,3.74347e+06,3.81298e+06,3.99997e+06,4.04922e+06,4.0829e+06,4.99898,4.97281,5.02734,4.9142,4.91365
0,4.12153e+06,3.99884e+06,4.56592e+06,4.47647e+06,4.43379e+06,4.96075,5.00429,5.00911,5.01912,5.00284
