x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe
-20,2.64456e+06,2.75672e+06,2.8081e+06,2.81836e+06,2.82125e+06,3.87071,4.55214,2.68266,3.94468,4.00989
-15,2.9501e+06,2.8674e+06,2.91426e+06,2.77301e+06,2.75781e+06,2.75635,2.8272,2.58633,2.70246,2.70762
-10,2.90413e+06,2.91315e+06,3.07729e+06,3.05216e+06,3.03181e+06,2.60649,2.58121,2.58599,2.58047,2.58567
-5,3.10617e+06,3.12539e+06,3.29406e+06,3.1348e+06,3.15697e+06,2.58615,2.58067,2.58645,2.5858,2.5858
0,3.59857e+06,3.38962e+06,4.04635e+06,4.03792e+06,4.05502e+06,2.58548,2.5861,2.58043,2.57945,2.5792
