x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe
-25,3.04957e+06,3.45395e+06,3.77225e+06,3.82244e+06,3.82244e+06,5.9912,6.46673,5.03657,5.91544,5.91544
-22.1429,3.43109e+06,3.67544e+06,3.54426e+06,4.10191e+06,4.32558e+06,5.98949,6.55901,5.19974,5.9149,5.70406
-19.2857,3.20987e+06,3.68115e+06,3.68771e+06,3.28835e+06,3.33385e+06,5.5109,6.29344,5.11392,5.63453,5.4822
-16.4286,3.49994e+06,3.81623e+06,3.96674e+06,3.59984e+06,3.81668e+06,5.23213,5.22228,4.90364,4.95236,4.94963
-13.5714,3.52076e+06,3.89068e+06,3.92777e+06,3.79623e+06,3.79623e+06,5.02782,4.85233,5.03071,5.02851,5.02851
-10.7143,3.70084e+06,3.88105e+06,4.0145e+06,4.23178e+06,4.44244e+06,4.90334,4.9393,5.02851,4.90228,4.88061
-7.85714,3.54235e+06,3.70198e+06,3.96756e+06,3.95147e+06,3.95147e+06,4.82459,4.93992,5.01621,5.02875,5.02875
-5,4.05401e+06,3.79162e+06,4.61946e+06,4.70805e+06,4.89278e+06,4.91012,5.02589,4.88718,4.7248,4.6379
