x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga_avg_qoe
-25,2.80101e+06,2.55117e+06,3.04183e+06,3.08492e+06,6.78196,6.79997,6.65355,6.59859
-22.1429,3.22134e+06,2.91908e+06,3.54544e+06,3.50173e+06,6.62712,6.66175,6.46923,6.44308
-19.2857,3.69832e+06,3.37815e+06,4.07011e+06,3.99177e+06,6.45525,6.49598,6.2802,6.26844
-16.4286,4.18284e+06,3.88589e+06,4.55101e+06,4.44493e+06,6.28153,6.31437,6.10886,6.09753
-13.5714,4.62137e+06,4.37788e+06,4.93269e+06,4.85198e+06,6.12384,6.13802,5.97116,5.93846
-10.7143,4.97386e+06,4.79381e+06,5.18843e+06,5.16949e+06,5.99645,5.988,5.86032,5.81005
-7.85714,5.22656e+06,5.10297e+06,5.32283e+06,5.40313e+06,5.9047,5.87595,5.74405,5.71622
-5,5.39036e+06,5.30867e+06,5.36547e+06,5.56503e+06,5.8449,5.80103,5.6603,5.65029
