x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe,random_deadline_vio,norm_deadline_vio,qoe_deadline_vio,exhaustive_deadline_vio,ga_deadline_vio,random_semantic_vio,norm_semantic_vio,qoe_semantic_vio,exhaustive_semantic_vio,ga_semantic_vio
-20,2.60735e+06,2.84123e+06,2.80784e+06,2.8492e+06,2.86286e+06,5.09796,5.66637,3.77499,5.11473,5.05468,0.3125,0.38375,0.1475,0.315,0.3075,1,0.99875,1,0.99875,0.99875
-15,2.7198e+06,2.82677e+06,2.87277e+06,2.90658e+06,2.91585e+06,3.45492,4.09546,2.62395,3.54933,3.54927,0.1075,0.1875,0.00375,0.12,0.12,1,1,1,0.9975,0.9975
-10,2.86476e+06,2.93755e+06,3.15651e+06,3.03826e+06,2.9802e+06,2.654,2.68149,2.5932,2.64079,2.6435,0.0075,0.01125,0,0.00625,0.00625,1,0.99875,1,0.99875,1
-5,3.18013e+06,3.0893e+06,3.35319e+06,3.31327e+06,3.31118e+06,2.59101,2.59349,2.59369,2.60313,2.60327,0,0,0,0.00125,0.00125,0.99875,1,1,1,1
0,3.60533e+06,3.48244e+06,3.91205e+06,3.85281e+06,3.86165e+06,2.59356,2.5906,2.59343,2.59285,2.59251,0,0,0,0,0,1,0.99875,1,1,1
