x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga_avg_qoe
3,5.12203e+06,5.58567e+06,5.14677e+06,6.66252e+06,4.58478,3.5464,3.47679,1.80193
4,5.20436e+06,5.65504e+06,5.21791e+06,6.33601e+06,5.94049,5.45814,4.89834,3.46359
5,4.86852e+06,4.89854e+06,5.15272e+06,5.65412e+06,6.49897,6.31605,5.70021,4.70378
6,4.78495e+06,4.63746e+06,5.08556e+06,5.28318e+06,6.69181,6.38134,6.03676,5.31084
7,4.66815e+06,4.50707e+06,5.13352e+06,5.12365e+06,6.54249,6.32767,6.10723,5.61016
8,4.60613e+06,4.36129e+06,5.00034e+06,4.89503e+06,6.55285,6.27499,6.19523,5.70415
