x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga_avg_qoe
3,4.24921e+06,5.5783e+06,5.60655e+06,6.58469e+06,4.9144,3.56394,3.313,1.89615
4,4.21647e+06,5.65502e+06,5.53497e+06,5.73898e+06,6.19425,5.45814,5.29224,3.57427
5,3.71211e+06,4.33746e+06,4.44162e+06,4.54245e+06,6.80207,6.74307,6.07736,4.82689
6,3.39134e+06,3.66547e+06,3.76826e+06,3.79755e+06,7.15051,7.10459,6.24054,5.52484
7,3.01518e+06,3.20719e+06,3.29316e+06,3.29699e+06,7.18567,7.40903,6.21152,5.80166
8,2.78538e+06,2.8019e+06,2.91742e+06,2.94932e+06,7.37157,7.5905,6.28886,6.06703
