x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe
2,1.83254e+06,1.8708e+06,1.85092e+06,1.93982e+06,1.93982e+06,6.82169,7.3211,6.07005,6.9022,6.9022
3,2.90584e+06,2.59769e+06,2.94853e+06,2.84786e+06,2.84786e+06,6.64326,7.23341,5.63724,6.31002,6.31002
4,3.2048e+06,3.67791e+06,3.67893e+06,3.28679e+06,3.33219e+06,6.47434,6.97327,5.80542,6.31708,6.23187
5,4.14333e+06,4.46022e+06,4.50003e+06,5.16601e+06,5.01035e+06,6.05031,6.30602,5.54353,5.78256,5.70209
6,4.1837e+06,5.27628e+06,4.9919e+06,5.25526e+06,5.32422e+06,5.71966,5.63383,5.72318,5.63745,5.63242
7,4.12704e+06,5.11666e+06,5.48585e+06,5.25378e+06,5.17298e+06,5.88808,5.71895,5.71491,5.72206,5.63462
8,4.70784e+06,4.9849e+06,5.62344e+06,4.9849e+06,5.5603e+06,5.80181,5.72292,5.62517,5.72292,5.53929
10,4.52938e+06,5.84554e+06,5.89087e+06,5.84554e+06,5.58916e+06,5.72692,5.53542,5.61854,5.53542,5.62723
