x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe
-20,3.31245e+06,3.68802e+06,3.69286e+06,3.71364e+06,3.67662e+06,6.04286,6.57326,5.18696,6.0562,6.04952
-17,3.41529e+06,3.61508e+06,3.66655e+06,3.70556e+06,3.72887e+06,5.58068,5.86496,4.99436,5.45958,5.46898
-14,3.43591e+06,3.73722e+06,3.81022e+06,3.71048e+06,3.73162e+06,5.17308,5.27583,4.95509,5.12462,5.12513
-11,3.51781e+06,3.70612e+06,3.8075e+06,3.81544e+06,3.84129e+06,5.01798,5.00298,4.9887,4.97659,4.9669
-8,3.52494e+06,3.70824e+06,4.01088e+06,3.96364e+06,3.96843e+06,4.97959,4.99658,4.96477,4.96544,4.96372
-5,3.68538e+06,3.8614e+06,4.18647e+06,4.04342e+06,4.06908e+06,4.97255,4.96632,4.94238,4.92483,4.92207
-2,3.93486e+06,3.90489e+06,4.41037e+06,4.22144e+06,4.20667e+06,4.97731,5.01368,4.99547,4.95517,4.96125
