x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga_avg_qoe
-25,2.75493e+06,2.78373e+06,2.86354e+06,2.94199e+06,14.0134,15.6167,11.8846,12.821
-22.5,2.73475e+06,2.83975e+06,2.84965e+06,2.87691e+06,13.018,14.5892,10.9526,11.7576
-20,2.77334e+06,2.82688e+06,2.84897e+06,2.93054e+06,11.9692,12.7742,10.7492,11.0154
-17.5,2.77352e+06,2.77053e+06,2.89788e+06,3.06346e+06,11.1183,11.3985,10.7409,10.7858
-15,2.80253e+06,2.833e+06,3.0146e+06,3.17615e+06,10.8199,10.8755,10.7406,10.7267
-12.5,2.93879e+06,2.87395e+06,3.149e+06,3.21892e+06,10.7646,10.7645,10.7405,10.713
-10,3.11903e+06,2.9235e+06,3.30019e+06,3.30969e+06,10.7409,10.7486,10.741,10.7374
-7.5,3.2461e+06,3.02903e+06,3.6055e+06,3.49614e+06,10.7406,10.7406,10.7401,10.7248
-5,3.46534e+06,3.22048e+06,3.94168e+06,3.72168e+06,10.7407,10.7404,10.7402,10.7308
