x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga-lite_sum_rate,ga-strong_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga-lite_avg_qoe,ga-strong_avg_qoe
-25,858.671,917.275,834.69,890.565,930.051,10.9995,10.9995,10.9995,10.9995,10.9995
-22.1429,1575.69,1687.88,1534.38,1641.26,1661.97,10.9994,10.9994,10.9994,10.9994,10.9994
-19.2857,3140.41,3370.49,3064.1,3263.51,3498.02,10.9991,10.9991,10.9992,10.9991,10.9992
-16.4286,6017.69,6407.45,5837.97,6198.72,5747.23,10.9983,10.9983,10.9983,10.9983,10.9987
-13.5714,10570.6,11369.3,10330.4,11051.2,11150.7,10.9961,10.9959,10.9962,10.996,10.9962
-10.7143,22786,24352.6,22260.5,23504.7,24776,10.993,10.9928,10.9932,10.9928,10.9934
-7.85714,44038.1,46871.5,43122.8,45491.6,55264.5,10.9874,10.987,10.9878,10.9872,10.9851
-5,69269.1,74922.3,67574.6,72352.1,77778.5,10.9827,10.9817,10.9835,10.9823,10.9799
