p,alg,metric,mean,ci95
-7.857142857,ga_ub,normal_qoe,0.5888801735,0.04950041846
-5,proposed,normal_qoe,0.5456176235,0.02927841204
-5,random,normal_qoe,0.9029181308,0.06284266129
-5,norm,normal_qoe,0.8863295975,0.06846927162
-5,ga_ub,normal_qoe,0.5489110908,0.04546964234
-25,proposed,sum_rate,17455657.59,661548.8979
-25,random,sum_rate,19316459.89,975107.8729
-25,norm,sum_rate,22068447.19,1331720.602
-25,ga_ub,sum_rate,17969306.73,711176.0358
-22.14285714,proposed,sum_rate,19192937.36,664781.8313
-22.14285714,random,sum_rate,20679489.93,1010379.438
-22.14285714,norm,sum_rate,23422129.41,1371207.171
-22.14285714,ga_ub,sum_rate,20163145.15,716918.6417
-19.28571429,proposed,sum_rate,20879052.8,748536.2851
-19.28571429,random,sum_rate,21792066.95,1028985.705
-19.28571429,norm,sum_rate,24879437.9,1391730.948
-19.28571429,ga_ub,sum_rate,21501019.93,756084.012
-16.42857143,proposed,sum_rate,22013091.82,811656.8169
-16.42857143,random,sum_rate,22930855.2,1028248.681
-16.42857143,norm,sum_rate,26716274.38,1397857.292
-16.42857143,ga_ub,sum_rate,22854718.66,814143.9159
-13.57142857,proposed,sum_rate,22974948.54,880253.6666
-13.57142857,random,sum_rate,23593513.33,1035264.515
-13.57142857,norm,sum_rate,28258588.4,1395234.039
-13.57142857,ga_ub,sum_rate,23778939.41,855694.9603
-10.71428571,proposed,sum_rate,23979636.79,926664.8812
-10.71428571,random,sum_rate,24536954.11,1027485.383
-10.71428571,norm,sum_rate,29283892.95,1404236.226
-10.71428571,ga_ub,sum_rate,24849782.57,902565.6363
-7.857142857,proposed,sum_rate,24937035.93,994023.9215
-7.857142857,random,sum_rate,25388487.7,1086711.874
-7.857142857,norm,sum_rate,30068223.99,1392975.44
-7.857142857,ga_ub,sum_rate,25471760.85,966971.989
-5,proposed,sum_rate,25978766.06,1078957.608
-5,random,sum_rate,25934687.2,1151441.29
-5,norm,sum_rate,30485068.82,1442348.773
-5,ga_ub,sum_rate,26131285.28,1034629.776
-25,proposed,urgent_sum_rate,6481168.323,627281.7259
-25,random,urgent_sum_rate,4931865.975,654845.6004
-25,norm,urgent_sum_rate,4055542.659,756607.3599
-25,ga_ub,urgent_sum_rate,3593588.175,557511.2966
-22.14285714,proposed,urgent_sum_rate,7676279.025,685793.6254
-22.14285714,random,urgent_sum_rate,5515013.686,708179.7107
-22.14285714,norm,urgent_sum_rate,4375384.517,803632.4731
-22.14285714,ga_ub,urgent_sum_rate,4608486.112,583158.5372
-19.28571429,proposed,urgent_sum_rate,8569809.303,724460.002
-19.28571429,random,urgent_sum_rate,5867152.853,745801.6249
-19.28571429,norm,urgent_sum_rate,4692196.347,846404.67
-19.28571429,ga_ub,urgent_sum_rate,5422150.384,608990.2507
-16.42857143,proposed,urgent_sum_rate,9079106.866,752243.1863
-16.42857143,random,urgent_sum_rate,6276433.395,798731.4527
-16.42857143,norm,urgent_sum_rate,5222232.825,951139.0451
-16.42857143,ga_ub,urgent_sum_rate,6011463.322,642094.7233
-13.57142857,proposed,urgent_sum_rate,9431558.907,762400.7329
-13.57142857,random,urgent_sum_rate,6403342.885,819895.2099
-13.57142857,norm,urgent_sum_rate,5529559.392,989394.2385
-13.57142857,ga_ub,urgent_sum_rate,6324875.897,650578.6945
-10.71428571,proposed,urgent_sum_rate,9826983.613,787026.9467
-10.71428571,random,urgent_sum_rate,6724501.907,850721.9158
-10.71428571,norm,urgent_sum_rate,5736283.465,1014937.572
-10.71428571,ga_ub,urgent_sum_rate,6695121.246,662498.5052
-7.857142857,proposed,urgent_sum_rate,10067336.81,805371.104
-7.857142857,random,urgent_sum_rate,7016368.17,905867.4974
-7.857142857,norm,urgent_sum_rate,5913946.625,1037703.023
-7.857142857,ga_ub,urgent_sum_rate,6907218.744,678994.1009
-5,proposed,urgent_sum_rate,10218443.75,818276.2474
-5,random,urgent_sum_rate,7174946.619,930156.2792
-5,norm,urgent_sum_rate,6020340.327,1053302.102
-5,ga_ub,urgent_sum_rate,7112765.254,696609.6578
-25,proposed,urgent_avg_rate,1620292.081,156820.4315
-25,random,urgent_avg_rate,1232966.494,163711.4001
-25,norm,urgent_avg_rate,1013885.665,189151.84
-25,ga_ub,urgent_avg_rate,898397.0437,139377.8241
-22.14285714,proposed,urgent_avg_rate,1919069.756,171448.4064
-22.14285714,random,urgent_avg_rate,1378753.422,177044.9277
-22.14285714,norm,urgent_avg_rate,1093846.129,200908.1183
-22.14285714,ga_ub,urgent_avg_rate,1152121.528,145789.6343
-19.28571429,proposed,urgent_avg_rate,2142452.326,181115.0005
-19.28571429,random,urgent_avg_rate,1466788.213,186450.4062
-19.28571429,norm,urgent_avg_rate,1173049.087,211601.1675
-19.28571429,ga_ub,urgent_avg_rate,1355537.596,152247.5627
-16.42857143,proposed,urgent_avg_rate,2269776.717,188060.7966
-16.42857143,random,urgent_avg_rate,1569108.349,199682.8632
-16.42857143,norm,urgent_avg_rate,1305558.206,237784.7613
-16.42857143,ga_ub,urgent_avg_rate,1502865.83,160523.6808
-13.57142857,proposed,urgent_avg_rate,2357889.727,190600.1832
-13.57142857,random,urgent_avg_rate,1600835.721,204973.8025
-13.57142857,norm,urgent_avg_rate,1382389.848,247348.5596
-13.57142857,ga_ub,urgent_avg_rate,1581218.974,162644.6736
-10.71428571,proposed,urgent_avg_rate,2456745.903,196756.7367
-10.71428571,random,urgent_avg_rate,1681125.477,212680.479
-10.71428571,norm,urgent_avg_rate,1434070.866,253734.393
-10.71428571,ga_ub,urgent_avg_rate,1673780.311,165624.6263
-7.857142857,proposed,urgent_avg_rate,2516834.202,201342.776
-7.857142857,random,urgent_avg_rate,1754092.042,226466.8743
-7.857142857,norm,urgent_avg_rate,1478486.656,259425.7558
-7.857142857,ga_ub,urgent_avg_rate,1726804.686,169748.5252
-5,proposed,urgent_avg_rate,2554610.936,204569.0618
-5,random,urgent_avg_rate,1793736.655,232539.0698
-5,norm,urgent_avg_rate,1505085.082,263325.5255
-5,ga_ub,urgent_avg_rate,1778191.313,174152.4145
-25,proposed,urgent_delay_vio,0.02875,0.01161293195
-25,random,urgent_delay_vio,0.555,0.03476295608
-25,norm,urgent_delay_vio,0.67625,0.03063743215
-25,ga_ub,urgent_delay_vio,0.6575,0.02974069763
-22.14285714,proposed,urgent_delay_vio,0.0025,0.003456106678
-22.14285714,random,urgent_delay_vio,0.52,0.03444917311
-22.14285714,norm,urgent_delay_vio,0.66,0.03203178698
-22.14285714,ga_ub,urgent_delay_vio,0.58125,0.03220037279
-19.28571429,proposed,urgent_delay_vio,0,0
-19.28571429,random,urgent_delay_vio,0.48875,0.0346129567
-19.28571429,norm,urgent_delay_vio,0.65125,0.03200493818
-19.28571429,ga_ub,urgent_delay_vio,0.5325,0.03208259676
-16.42857143,proposed,urgent_delay_vio,0,0
-16.42857143,random,urgent_delay_vio,0.45875,0.0348699506
-16.42857143,norm,urgent_delay_vio,0.62125,0.0343821253
-16.42857143,ga_ub,urgent_delay_vio,0.47375,0.03338871093
-13.57142857,proposed,urgent_delay_vio,0,0
-13.57142857,random,urgent_delay_vio,0.415,0.03532757262
-13.57142857,norm,urgent_delay_vio,0.5775,0.03731243814
-13.57142857,ga_ub,urgent_delay_vio,0.405,0.03551831292
-10.71428571,proposed,urgent_delay_vio,0,0
-10.71428571,random,urgent_delay_vio,0.3675,0.03366087973
-10.71428571,norm,urgent_delay_vio,0.48125,0.042390796
-10.71428571,ga_ub,urgent_delay_vio,0.325,0.0367602582
-7.857142857,proposed,urgent_delay_vio,0,0
-7.857142857,random,urgent_delay_vio,0.325,0.03331681333
-7.857142857,norm,urgent_delay_vio,0.415,0.04072172016
-7.857142857,ga_ub,urgent_delay_vio,0.2675,0.03499644706
-5,proposed,urgent_delay_vio,0,0
-5,random,urgent_delay_vio,0.27875,0.03424147016
-5,norm,urgent_delay_vio,0.34625,0.04105185332
-5,ga_ub,urgent_delay_vio,0.21875,0.03201247696
-25,proposed,urgent_semantic_vio,0.41375,0.0315684307
-25,random,urgent_semantic_vio,0.4775,0.03441939021
-25,norm,urgent_semantic_vio,0.6325,0.03026349195
-25,ga_ub,urgent_semantic_vio,0.4975,0.03183342243
-22.14285714,proposed,urgent_semantic_vio,0.33375,0.03053486989
-22.14285714,random,urgent_semantic_vio,0.435,0.03371997008
-22.14285714,norm,urgent_semantic_vio,0.59125,0.03224530487
-22.14285714,ga_ub,urgent_semantic_vio,0.3875,0.0298298146
-19.28571429,proposed,urgent_semantic_vio,0.2775,0.0294307628
-19.28571429,random,urgent_semantic_vio,0.385,0.03382714262
-19.28571429,norm,urgent_semantic_vio,0.52125,0.0323573621
-19.28571429,ga_ub,urgent_semantic_vio,0.31625,0.0278916134
-16.42857143,proposed,urgent_semantic_vio,0.22,0.02725328434
-16.42857143,random,urgent_semantic_vio,0.3475,0.03141374007
