x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe
3,4.40329e+06,5.61786e+06,5.63093e+06,5.51917e+06,5.52211e+06,1.78368,1.49485,1.46493,1.49678,1.49806
4,4.36277e+06,5.4442e+06,5.40181e+06,5.37976e+06,5.36281e+06,2.19283,2.11837,2.14153,2.14303,2.13924
5,3.96821e+06,4.43976e+06,4.70463e+06,4.60579e+06,4.62409e+06,2.47469,2.47766,2.45602,2.45023,2.45231
6,3.71684e+06,3.87439e+06,4.18496e+06,4.06331e+06,4.07221e+06,2.5673,2.5602,2.56293,2.55649,2.55643
7,3.38282e+06,3.3876e+06,3.71586e+06,3.6516e+06,3.65261e+06,2.58757,2.58617,2.58889,2.58254,2.5837
8,3.10757e+06,3.04655e+06,3.4223e+06,3.33687e+06,3.334e+06,2.5941,2.59715,2.59134,2.59249,2.59303
