x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga_avg_qoe
-25,3.35494e+06,3.65508e+06,3.73349e+06,3.72447e+06,7.45165,7.58886,5.91182,6.54093
-22.5,3.39995e+06,3.66175e+06,3.66417e+06,3.58497e+06,7.11682,7.39152,5.66324,6.27223
-20,3.42269e+06,3.68777e+06,3.70703e+06,3.47543e+06,6.78036,7.0047,5.61657,5.86963
-17.5,3.39836e+06,3.66742e+06,3.77283e+06,3.50954e+06,6.59423,6.46563,5.64853,5.53243
-15,3.42703e+06,3.66785e+06,3.88101e+06,3.40191e+06,6.17201,6.04652,5.46619,5.27651
-12.5,3.4899e+06,3.6872e+06,4.0034e+06,3.55872e+06,6.15501,5.80861,5.6206,5.1606
-10,3.65235e+06,3.71657e+06,4.08089e+06,3.58215e+06,6.27263,5.76326,5.64073,5.1071
-7.5,3.70203e+06,3.82923e+06,4.27298e+06,3.82263e+06,6.2195,5.77873,5.77149,5.18073
-5,3.92082e+06,3.86895e+06,4.55758e+06,3.91262e+06,6.13685,5.78511,5.56747,5.1693
