x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga_avg_qoe
-25,3.88031e+06,3.90709e+06,4.452e+06,4.26324e+06,6.70863,6.44829,6.20008,5.28119
-22.1429,4.1588e+06,4.06278e+06,4.64542e+06,4.47314e+06,6.72655,6.40486,6.2322,5.32895
-19.2857,4.4363e+06,4.30522e+06,4.94881e+06,4.82684e+06,6.66972,6.39487,6.19349,5.3971
-16.4286,4.66015e+06,4.51246e+06,5.04305e+06,5.12629e+06,6.74155,6.35615,6.12453,5.3717
-13.5714,4.91821e+06,4.75754e+06,5.21611e+06,5.4279e+06,6.58046,6.38278,5.83576,5.35895
-10.7143,5.10924e+06,4.9927e+06,5.16073e+06,5.66942e+06,6.65675,6.34087,5.73597,5.35211
-7.85714,5.25746e+06,5.14372e+06,5.09998e+06,5.89604e+06,6.756,6.34118,5.69053,5.27454
-5,5.38839e+06,5.32423e+06,5.25515e+06,6.00556e+06,6.71361,6.36221,5.64426,5.27027
