x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga_avg_qoe
-25,2.75493e+06,2.78373e+06,2.86354e+06,2.94435e+06,7.04283,7.68069,6.18876,6.59399
-22.5,2.73475e+06,2.83975e+06,2.84965e+06,2.91003e+06,6.64795,7.27005,5.81656,6.16834
-20,2.77334e+06,2.82688e+06,2.84897e+06,2.95053e+06,6.22087,6.53952,5.73532,5.83865
-17.5,2.77352e+06,2.77053e+06,2.89788e+06,3.08266e+06,5.8825,5.99564,5.72843,5.74504
-15,2.80253e+06,2.833e+06,3.0146e+06,3.19662e+06,5.76723,5.78161,5.72779,5.6965
-12.5,2.93879e+06,2.87395e+06,3.149e+06,3.23873e+06,5.74129,5.74105,5.72765,5.70626
-10,3.11903e+06,2.9235e+06,3.30019e+06,3.36267e+06,5.73126,5.72526,5.73494,5.69905
-7.5,3.2461e+06,3.02903e+06,3.6055e+06,3.51893e+06,5.72472,5.728,5.71446,5.69863
-5,3.46534e+06,3.22048e+06,3.94168e+06,3.73542e+06,5.73417,5.73063,5.72994,5.7044
