x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,ga_avg_qoe
-25,3.54179e+06,3.74457e+06,3.71533e+06,3.76496e+06,6.74009,6.94911,6.32417,6.78974
-22.1429,3.55178e+06,3.6959e+06,3.72506e+06,3.74707e+06,6.42592,6.84987,5.7286,6.58159
-19.2857,3.55465e+06,3.70879e+06,3.73155e+06,3.79268e+06,6.07602,6.6629,5.21001,6.18494
-16.4286,3.56998e+06,3.72975e+06,3.75471e+06,3.77388e+06,5.74788,6.27658,5.06881,5.81508
-13.5714,3.55985e+06,3.71636e+06,3.85013e+06,3.79662e+06,5.33891,5.70303,5.04231,5.34852
-10.7143,3.62152e+06,3.71547e+06,3.91613e+06,3.87934e+06,5.12216,5.21393,5.0409,5.10884
-7.85714,3.72584e+06,3.7908e+06,4.01458e+06,3.99173e+06,5.05718,5.06951,5.04121,5.0478
-5,3.8697e+06,3.8836e+06,4.21612e+06,4.11511e+06,5.04245,5.04576,5.04214,5.04047
