x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe
-20,2.58888e+06,2.70569e+06,2.86336e+06,2.7884e+06,2.82357e+06,5.16502,5.76668,3.85322,5.0309,5.06417
-15,2.96334e+06,2.91158e+06,2.9313e+06,2.81119e+06,2.81035e+06,3.37722,3.86148,2.59386,3.4281,3.49496
-10,2.90341e+06,2.8822e+06,3.03652e+06,2.99432e+06,2.91816e+06,2.69395,2.79391,2.59356,2.69344,2.69391
-5,3.14298e+06,3.104e+06,3.39522e+06,3.16821e+06,3.18906e+06,2.59346,2.59341,2.59366,2.59323,2.59326
0,3.63278e+06,3.3697e+06,4.05146e+06,4.06094e+06,4.01799e+06,2.59302,2.59381,2.59313,2.59255,2.59263
