x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga_avg_qoe
2,1.93605e+06,1.93833e+06,2.13946e+06,2.20236e+06,6.49464,6.50671,6.15755,5.89251
3,2.78414e+06,2.79303e+06,2.99364e+06,2.77983e+06,6.93038,6.71393,6.35249,5.9553
4,3.49953e+06,3.70981e+06,3.82787e+06,3.39557e+06,6.77133,6.61943,6.25766,5.89705
5,3.91408e+06,4.59837e+06,4.6595e+06,3.87637e+06,7.18599,6.68342,6.35606,6.0771
6,4.37581e+06,5.54408e+06,5.50046e+06,4.28244e+06,6.93665,6.52216,6.26922,5.89514
7,4.51146e+06,5.52206e+06,5.43391e+06,4.34971e+06,7.14693,6.14307,5.83702,6.03911
8,4.70226e+06,5.48414e+06,5.50029e+06,4.71944e+06,7.07693,5.90827,5.68213,5.98406
10,4.79557e+06,5.49697e+06,5.4639e+06,4.63028e+06,7.07832,5.71507,5.62798,5.94507
