x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe,random_deadline_vio,norm_deadline_vio,qoe_deadline_vio,exhaustive_deadline_vio,ga_deadline_vio,random_semantic_vio,norm_semantic_vio,qoe_semantic_vio,exhaustive_semantic_vio,ga_semantic_vio
-20,2.66991e+06,2.63807e+06,2.63807e+06,2.77726e+06,2.73984e+06,5.04782,5.49941,5.49941,4.94756,4.89769,0.30625,0.3625,0.3625,0.29375,0.2875,1,1,1,1,1
-15,2.78477e+06,2.70491e+06,2.70491e+06,2.88755e+06,2.87296e+06,3.59446,4.24573,4.24573,3.84501,3.89502,0.125,0.20625,0.20625,0.15625,0.1625,1,1,1,1,1
-10,2.90931e+06,2.92192e+06,2.92192e+06,3.05036e+06,3.04771e+06,2.64399,2.64422,2.64422,2.64372,2.64323,0.00625,0.00625,0.00625,0.00625,0.00625,1,1,1,1,1
-5,3.20862e+06,3.16714e+06,3.16714e+06,3.35386e+06,3.38645e+06,2.59353,2.59318,2.59318,2.64219,2.64269,0,0,0,0.00625,0.00625,1,1,1,1,1
0,3.40169e+06,3.5512e+06,3.5512e+06,3.83272e+06,3.83412e+06,2.59399,2.59269,2.59269,2.5928,2.59257,0,0,0,0,0,1,1,1,1,1
