p,alg,metric,mean,ci95
-7.857142857,ga_rt,normal_qoe,0.5020039336,0.052674226
-5,proposed,normal_qoe,0.5445243731,0.07602067828
-5,random,normal_qoe,0.4966660609,0.01741957762
-5,norm,normal_qoe,0.4586900129,0.05784512126
-5,ga_rt,normal_qoe,0.4871395386,0.09610255931
-25,proposed,sum_rate,10382707.07,1655895.064
-25,random,sum_rate,9592460.464,1324212.895
-25,norm,sum_rate,11790560.24,3045203.316
-25,ga_rt,sum_rate,11450342.5,3998124.867
-22.14285714,proposed,sum_rate,10585639.86,1360643.559
-22.14285714,random,sum_rate,11941202.88,5103144.424
-22.14285714,norm,sum_rate,11372291.82,2419830.088
-22.14285714,ga_rt,sum_rate,11249402.89,5679235.067
-19.28571429,proposed,sum_rate,10731818.78,1161952.295
-19.28571429,random,sum_rate,11938537.3,193631.9566
-19.28571429,norm,sum_rate,11158964.36,2098473.591
-19.28571429,ga_rt,sum_rate,10992262.46,3178312.839
-16.42857143,proposed,sum_rate,10824512.42,1040800.062
-16.42857143,random,sum_rate,8919278.774,1205167.75
-16.42857143,norm,sum_rate,11053101.64,1939243.221
-16.42857143,ga_rt,sum_rate,8884436.885,393812.8795
-13.57142857,proposed,sum_rate,9316369.914,2090405.131
-13.57142857,random,sum_rate,9504249.514,183729.3296
-13.57142857,norm,sum_rate,11000602.51,1859808.123
-13.57142857,ga_rt,sum_rate,11366760.22,6170292.359
-10.71428571,proposed,sum_rate,7543894.047,858216.0326
-10.71428571,random,sum_rate,11282814.5,1329059.266
-10.71428571,norm,sum_rate,10974716.32,1818908.652
-10.71428571,ga_rt,sum_rate,10652813.84,606560.9768
-7.857142857,proposed,sum_rate,7459100.871,679867.3771
-7.857142857,random,sum_rate,10955249.1,3194690.604
-7.857142857,norm,sum_rate,10962699.81,1796204.752
-7.857142857,ga_rt,sum_rate,10795230.62,2397014.789
-5,proposed,sum_rate,9255449.643,4236306.441
-5,random,sum_rate,10601488.71,190009.5405
-5,norm,sum_rate,10958770.86,1780942.466
-5,ga_rt,sum_rate,11018967.73,873378.4369
-25,proposed,urgent_sum_rate,3670235.749,5361607.109
-25,random,urgent_sum_rate,2435580.577,3088237.688
-25,norm,urgent_sum_rate,9.578303299,15.5822759
-25,ga_rt,urgent_sum_rate,290911.5634,27857.08166
-22.14285714,proposed,urgent_sum_rate,3446694.844,5229082.114
-22.14285714,random,urgent_sum_rate,4750447.486,6893989.823
-22.14285714,norm,urgent_sum_rate,18.21876174,29.42623766
-22.14285714,ga_rt,urgent_sum_rate,4380448.632,1922920.334
-19.28571429,proposed,urgent_sum_rate,3326571.388,5142614.949
-19.28571429,random,urgent_sum_rate,310939.3306,458438.5142
-19.28571429,norm,urgent_sum_rate,34.90005455,56.13076786
-19.28571429,ga_rt,urgent_sum_rate,4905540.082,1511475.285
-16.42857143,proposed,urgent_sum_rate,3262497.966,5091987.637
-16.42857143,random,urgent_sum_rate,156237.0523,22627.04847
-16.42857143,norm,urgent_sum_rate,67.09712229,107.6553437
-16.42857143,ga_rt,urgent_sum_rate,1846265.74,2348521.325
-13.57142857,proposed,urgent_sum_rate,1855816.614,2373116.413
-13.57142857,random,urgent_sum_rate,676807.6178,1326538.982
-13.57142857,norm,urgent_sum_rate,129.217992,207.036104
-13.57142857,ga_rt,urgent_sum_rate,3455125.731,3978733.726
-10.71428571,proposed,urgent_sum_rate,1528954.623,2853831.143
-10.71428571,random,urgent_sum_rate,1336217.652,2618023.059
-10.71428571,norm,urgent_sum_rate,248.9934845,398.560058
-10.71428571,ga_rt,urgent_sum_rate,503518.2263,176927.0779
-7.857142857,proposed,urgent_sum_rate,1480499.942,2758879.764
-7.857142857,random,urgent_sum_rate,1852577.385,3395989.198
-7.857142857,norm,urgent_sum_rate,479.6372019,767.0300574
-7.857142857,ga_rt,urgent_sum_rate,1574371.43,2302170.292
-5,proposed,urgent_sum_rate,2924079.442,5586257.115
