name,class,which_path
log2,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elfun\log2)
logical,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\datatypes\logical)
lower,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\strfun\lower)
m_vals,not_found,
mat2str,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\strfun\mat2str.m
mating_pool,not_found,
max,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\datafun\max)
mean,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\datafun\mean.m
mfilename,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\lang\mfilename)
min,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\datafun\min)
mkdir,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\io\filesystem\mkdir)
mod,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elfun\mod)
mu,file_or_class,D:\apply\MATLAB R2025\toolbox\robust\rctobsolete\mutools\commands\mu.m
n_sym,not_found,
nan,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elmat\nan)
norm,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\matfun\norm)
normal_idx,not_found,
normal_qoe_all,not_found,
numel,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elmat\numel)
offspring,not_found,
onCleanup,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\lang\onCleanup.m
ones,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elmat\ones)
opts,not_found,
order,not_found,D:\apply\MATLAB R2025\toolbox\mbc\mbcmodels\@localmod\order.m
outer,not_found,
p,not_found,
p1,not_found,
p2,not_found,
p_list,not_found,
parse,not_found,D:\apply\MATLAB R2025\toolbox\mbc\mbcexpr\@cgslparser\parse.m
plot,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\graphics\graphics\graph2d\plot)
plot_idx,not_found,
pop,not_found,
pow_direct,not_found,
pow_ris,not_found,
prop_delay,not_found,
proposed_assign,not_found,
proposed_eval_calls_all,not_found,
qoe_history,not_found,
qoe_vec,not_found,
quantile,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\datafun\quantile.m
rand,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\randfun\rand)
randi,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\randfun\randi)
randn,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\randfun\randn)
randperm,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\randfun\randperm)
rate_bps,not_found,
rate_total_bps,not_found,
rate_vec_bps,not_found,
readtable,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\io\tabular\iofun\readtable.m
real,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elfun\real)
repmat,builtin,D:\apply\MATLAB R2025\toolbox\matlab\elmat\repmat.m
reshape,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elmat\reshape)
ris,not_found,
ris_count_all,not_found,
ris_list,not_found,
ris_pos,not_found,
ris_rank,not_found,
ris_users,not_found,
rng,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\randfun\rng.m
round,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elfun\round)
