x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,ga_avg_qoe
6,3.39851e+06,3.6678e+06,4.53815e+06,4.13686e+06,2.55496,2.58853,2.51301,2.58476
8,3.26022e+06,3.36661e+06,3.27707e+06,3.26797e+06,2.59359,2.59256,2.59382,2.59366
10,3.07693e+06,2.65421e+06,2.96944e+06,2.88132e+06,2.59459,2.59518,2.59495,2.59495
12,2.53173e+06,2.42601e+06,2.62041e+06,2.55992e+06,2.59561,2.59564,2.59553,2.59555
