x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga-lite_sum_rate,ga-strong_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga-lite_avg_qoe,ga-strong_avg_qoe
2,8373.28,8815.67,8236.98,8827.23,9246.76,10.9962,10.996,10.9962,10.9959,10.9955
3,8872.47,9454.12,8697.13,9371.54,9739.37,10.996,10.9958,10.9961,10.9957,10.9957
4,8716.06,9364.83,8667.03,9239.25,10277.1,10.9959,10.9957,10.9959,10.9957,10.9952
5,8847.66,9583.85,8908.92,9271.93,8569.92,10.9958,10.9957,10.9959,10.9956,10.9964
6,9136.04,10108.4,9484.43,9652.5,9863.91,10.9959,10.9957,10.996,10.9957,10.9957
7,9195.43,10335.1,9879.33,9718.52,10213,10.9958,10.9957,10.9959,10.9956,10.9957
8,10254.3,11423.6,11042.4,10782.3,13079.3,10.9952,10.9951,10.9952,10.995,10.9937
10,9411.38,10976.6,10574.5,9862.02,10762.6,10.9958,10.9956,10.9957,10.9955,10.9957
