x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe
2,1.99618e+06,2.00888e+06,2.08496e+06,2.07315e+06,2.07315e+06,2.62214,2.63071,2.57855,2.62336,2.62336
3,2.82825e+06,2.86627e+06,3.023e+06,2.99479e+06,2.99315e+06,2.6293,2.61868,2.56821,2.59214,2.59217
4,3.44848e+06,3.73451e+06,3.89326e+06,3.83753e+06,3.85013e+06,2.58914,2.60946,2.55761,2.5657,2.56479
5,3.97878e+06,4.6006e+06,4.75423e+06,4.66883e+06,4.69315e+06,2.56792,2.57701,2.55582,2.56597,2.5582
6,4.37034e+06,5.48903e+06,5.47506e+06,5.54478e+06,5.46563e+06,2.57223,2.55441,2.54488,2.54566,2.54674
7,4.51091e+06,5.49451e+06,5.52939e+06,5.51386e+06,5.49923e+06,2.56454,2.54209,2.54094,2.54447,2.53853
8,4.76226e+06,5.52062e+06,5.56183e+06,5.52062e+06,5.53165e+06,2.5655,2.53931,2.55173,2.53931,2.5438
10,4.90935e+06,5.44437e+06,5.46466e+06,5.44437e+06,5.52718e+06,2.55969,2.55504,2.55463,2.55504,2.54025
