x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga_avg_qoe
-25,3.87914e+06,3.88482e+06,3.92984e+06,4.69852e+06,5.16296,5.08723,4.93975,4.55069
-22.1429,4.11894e+06,4.03682e+06,4.10385e+06,4.91736e+06,4.98909,4.97741,4.81734,4.38375
-19.2857,4.38861e+06,4.24272e+06,4.43542e+06,5.14594e+06,4.79316,4.82938,4.60408,4.20897
-16.4286,4.65927e+06,4.48803e+06,4.84438e+06,5.37943e+06,4.59575,4.65156,4.32095,4.0178
-13.5714,4.90061e+06,4.74098e+06,5.06883e+06,5.57078e+06,4.41908,4.46642,4.11378,3.84908
-10.7143,5.09172e+06,4.96585e+06,5.09363e+06,5.74962e+06,4.27973,4.30098,3.98765,3.70165
-7.85714,5.22702e+06,5.14001e+06,4.99151e+06,5.87623e+06,4.1819,4.1732,3.96566,3.5855
-5,5.31396e+06,5.25995e+06,5.10151e+06,5.96565e+06,4.12003,4.08617,3.8591,3.50056
