x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe
-25,2.69344e+06,2.74846e+06,2.74372e+06,2.82275e+06,2.80369e+06,5.36325,6.05531,4.38112,5.40494,5.40858
-22.1429,2.73038e+06,2.7875e+06,2.81748e+06,2.84979e+06,2.86114e+06,4.56288,5.29663,3.1889,4.57213,4.58807
-19.2857,2.74069e+06,2.80859e+06,2.80519e+06,2.86795e+06,2.89016e+06,3.64984,4.12452,2.63227,3.62996,3.61884
-16.4286,2.72587e+06,2.82598e+06,2.84651e+06,2.86273e+06,2.87041e+06,2.90855,3.10652,2.58464,2.91227,2.91628
-13.5714,2.77472e+06,2.80668e+06,2.87783e+06,2.88713e+06,2.89559e+06,2.64409,2.68846,2.58543,2.63747,2.63944
-10.7143,2.81085e+06,2.85699e+06,3.00891e+06,3.00009e+06,2.97662e+06,2.59965,2.59974,2.58405,2.59422,2.59431
-7.85714,2.94853e+06,2.94121e+06,3.16329e+06,3.11713e+06,3.11871e+06,2.58532,2.58673,2.5845,2.58148,2.58305
-5,3.12691e+06,3.07667e+06,3.39629e+06,3.29942e+06,3.30032e+06,2.58198,2.58501,2.58437,2.58289,2.58342
