x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga_avg_qoe
2,4.27318e+06,4.06353e+06,4.29566e+06,4.76373e+06,4.67951,4.79853,4.5671,4.2944
3,4.542e+06,4.3052e+06,4.67893e+06,5.11888e+06,4.65493,4.7175,4.38231,4.14243
4,4.78524e+06,4.61592e+06,4.99353e+06,5.47308e+06,4.50348,4.55818,4.20741,3.93494
5,4.96688e+06,5.0472e+06,5.22975e+06,5.73401e+06,4.51545,4.36272,4.06943,3.83687
6,5.08722e+06,5.51207e+06,5.2532e+06,5.9049e+06,4.407,4.07787,4.01253,3.73483
7,5.23257e+06,5.40935e+06,5.25302e+06,6.00951e+06,4.38021,4.04894,3.99404,3.70292
8,5.23166e+06,5.51276e+06,5.23506e+06,6.04185e+06,4.36171,3.92176,3.98836,3.66083
10,5.23635e+06,5.43288e+06,5.29024e+06,6.11461e+06,4.39742,3.92796,3.94684,3.60492
