x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga_avg_qoe,random_deadline_vio,norm_deadline_vio,proposed_deadline_vio,ga_deadline_vio,random_semantic_vio,norm_semantic_vio,proposed_semantic_vio,ga_semantic_vio
-25,1.88433e+06,1.87633e+06,1.88485e+06,1.89642e+06,17.1413,17.5995,16.1155,16.2233,0.638333,0.68375,0.53625,0.546667,1,1,1,1
-22.1429,1.92874e+06,1.89314e+06,1.93185e+06,1.91836e+06,16.1275,16.9024,14.6269,15.1287,0.5375,0.614792,0.387708,0.437708,1,1,1,1
-19.2857,1.93313e+06,1.89235e+06,1.96254e+06,1.9151e+06,15.1018,15.9445,13.2107,14.1033,0.435208,0.519375,0.24625,0.335417,1,1,1,1
-16.4286,1.99928e+06,1.95474e+06,2.04413e+06,1.99585e+06,13.9733,14.5278,11.9745,12.925,0.3225,0.377917,0.122708,0.217708,1,1,1,1
-13.5714,2.10159e+06,2.01735e+06,2.18206e+06,2.10426e+06,12.8559,12.9019,11.3845,11.9035,0.210833,0.215417,0.06375,0.115625,1,1,1,1
-10.7143,2.31864e+06,2.14145e+06,2.45318e+06,2.24392e+06,12.1074,11.7783,11.3842,11.176,0.136042,0.103125,0.06375,0.0429167,1,1,1,1
-7.85714,2.54154e+06,2.29407e+06,2.76308e+06,2.48792e+06,11.8572,11.4906,11.3737,10.9819,0.111042,0.074375,0.0627083,0.0235417,1,1,1,1
-5,2.81334e+06,2.5061e+06,3.13868e+06,2.77613e+06,11.8987,11.4278,11.3944,10.988,0.115208,0.068125,0.0647917,0.0241667,1,1,1,1
