x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe
8,3.00806e+06,3.00785e+06,3.44816e+06,3.30617e+06,3.31096e+06,2.59411,2.59383,2.58471,2.5931,2.59309
12,2.52408e+06,2.18372e+06,2.64384e+06,2.18372e+06,2.54226e+06,2.59563,2.59585,2.59551,2.59585,2.59561
16,2.01242e+06,1.91819e+06,2.23833e+06,1.91819e+06,2.13963e+06,2.66278,2.69621,2.59588,2.69621,2.64605
20,1.8631e+06,1.71885e+06,1.98475e+06,1.71885e+06,1.90468e+06,2.66301,2.66312,2.59612,2.66312,2.64962
