x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga-lite_sum_rate,ga-strong_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga-lite_avg_qoe,ga-strong_avg_qoe
-25,940.57,1004.69,921.227,979.044,960.62,10.9995,10.9995,10.9995,10.9995,10.9995
-22.1429,1857.74,1972.49,1806.25,1917.83,1920.01,10.9995,10.9995,10.9995,10.9995,10.9995
-19.2857,3096.03,3316.15,3013.99,3227.15,3275.44,10.9995,10.9995,10.9995,10.9995,10.9995
-16.4286,6122.03,6577.41,5999.81,6366.86,6488.66,10.9991,10.9991,10.9991,10.9991,10.9991
-13.5714,12492.3,13256.5,12202.9,12923.4,13450.8,10.9975,10.9974,10.9976,10.9974,10.9972
-10.7143,19937.7,21482.2,19423,20818.6,23349.8,10.995,10.9948,10.9951,10.9948,10.9941
-7.85714,42678.3,45384,41630.4,44267.3,45888.6,10.9889,10.9884,10.9891,10.9884,10.9887
-5,74369.3,79365.9,72418,76950.2,87695.8,10.9816,10.9804,10.982,10.9806,10.9779
