x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga_avg_qoe
3,4.95204e+06,5.31403e+06,5.04466e+06,6.49227e+06,4.82829,3.89675,3.53197,1.79841
4,4.86811e+06,5.32439e+06,5.18393e+06,6.15753e+06,5.92051,5.62575,4.81391,3.668
5,4.80484e+06,4.83778e+06,5.21491e+06,5.65184e+06,6.57798,6.25383,5.68784,4.80789
6,4.78524e+06,4.61592e+06,5.12883e+06,5.30809e+06,6.64254,6.39332,6.03618,5.34583
7,4.67045e+06,4.41996e+06,5.05651e+06,4.99891e+06,6.61697,6.36351,6.18309,5.60547
8,4.60716e+06,4.32273e+06,4.97106e+06,4.84281e+06,6.54681,6.28737,6.16414,5.70066
