x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga_avg_qoe
-25,2.79926e+06,2.54985e+06,3.03803e+06,2.90629e+06,6.30702,6.09238,6.08608,5.74574
-22.1429,3.2563e+06,2.91378e+06,3.57205e+06,3.33749e+06,6.30471,6.11307,6.04419,5.74555
-19.2857,3.72795e+06,3.37956e+06,4.11398e+06,3.84162e+06,6.30241,6.11079,6.08139,5.74533
-16.4286,4.19102e+06,3.85907e+06,4.52558e+06,4.28657e+06,6.30843,6.1168,6.06865,5.74503
-13.5714,4.60582e+06,4.35394e+06,4.92701e+06,4.73483e+06,6.30609,6.07485,6.04541,5.74483
-10.7143,5.02185e+06,4.8288e+06,5.24517e+06,5.13187e+06,6.35152,6.08906,6.05967,5.74443
-7.85714,5.18453e+06,5.10707e+06,5.34415e+06,5.37717e+06,6.28267,6.0701,5.87403,5.74412
-5,5.32834e+06,5.26656e+06,5.3811e+06,5.50696e+06,6.30751,6.06577,5.7654,5.74407
