x_val,random_sum_rate,norm_sum_rate,qoe_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,qoe_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe
4,4.2123e+06,5.56372e+06,5.28478e+06,5.10584e+06,5.13604e+06,2.29102,2.05513,2.09279,2.16334,2.14572
5,3.8848e+06,4.22915e+06,4.89244e+06,4.44265e+06,4.55639e+06,2.4419,2.52226,2.40922,2.53715,2.52168
6,3.71609e+06,3.99974e+06,4.52871e+06,3.817e+06,3.85344e+06,2.55133,2.55037,2.54831,2.56499,2.55329
7,3.34191e+06,3.37847e+06,3.82547e+06,3.47574e+06,3.44913e+06,2.5918,2.58166,2.59115,2.57218,2.58206
