x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,exhaustive_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,exhaustive_avg_qoe,ga_avg_qoe,random_deadline_vio,norm_deadline_vio,proposed_deadline_vio,exhaustive_deadline_vio,ga_deadline_vio,random_semantic_vio,norm_semantic_vio,proposed_semantic_vio,exhaustive_semantic_vio,ga_semantic_vio
-25,2.57167e+06,2.73053e+06,2.90031e+06,3.46368e+06,3.47479e+06,7.62373,8.12454,7.0537,7.0411,7.04163,0.375,0.475,0.2625,0.2625,0.2625,1,1,1,1,1
-22.1429,2.67441e+06,2.78228e+06,2.72581e+06,3.30588e+06,3.26426e+06,7.49585,7.93452,6.49295,6.35462,6.35551,0.35,0.4375,0.15,0.15,0.15,1,1,1,0.975,0.975
-19.2857,2.75686e+06,2.6697e+06,2.88625e+06,3.39807e+06,3.35654e+06,6.86826,7.49561,5.8652,5.85759,5.85827,0.225,0.35,0.025,0.025,0.025,1,1,1,1,1
-16.4286,2.77259e+06,2.72362e+06,2.91295e+06,3.69626e+06,3.63284e+06,6.24223,6.61805,5.74089,5.5964,5.59658,0.1,0.175,0,0.0125,0.0125,1,1,1,0.9625,0.9625
-13.5714,2.63469e+06,2.7993e+06,2.89233e+06,3.5326e+06,3.47979e+06,5.86872,5.93035,5.74214,5.73157,5.73159,0.025,0.0375,0,0,0,1,1,1,1,1
-10.7143,2.97587e+06,2.82597e+06,3.16138e+06,3.62588e+06,3.62561e+06,5.74152,5.80469,5.74232,5.59921,5.59948,0,0.0125,0,0,0,1,1,1,0.975,0.975
-7.85714,3.39504e+06,2.99288e+06,3.34782e+06,4.16918e+06,4.0796e+06,5.73906,5.74057,5.74259,5.52881,5.52933,0,0,0,0,0,1,1,1,0.9625,0.9625
-5,3.23444e+06,3.10251e+06,3.6431e+06,3.95337e+06,3.96449e+06,5.74214,5.73957,5.74183,5.59771,5.59779,0,0,0,0,0,1,1,1,0.975,0.975
