x_val,random_sum_rate,norm_sum_rate,proposed_sum_rate,ga_sum_rate,random_avg_qoe,norm_avg_qoe,proposed_avg_qoe,ga_avg_qoe
3,4.95204e+06,5.31403e+06,4.66636e+06,6.04068e+06,2.04247,1.67517,1.73216,1.09094
4,4.86811e+06,5.32439e+06,4.96728e+06,5.97183e+06,2.99817,2.6487,2.58918,2.04305
5,4.80484e+06,4.83778e+06,5.08475e+06,5.70034e+06,3.85902,3.81827,3.39673,3.08128
6,4.78524e+06,4.61592e+06,5.05739e+06,5.47308e+06,4.50348,4.55818,4.1248,3.93494
7,4.67045e+06,4.41996e+06,5.02293e+06,5.22315e+06,5.02274,5.10969,4.69361,4.58244
8,4.60716e+06,4.32273e+06,4.95506e+06,5.06736e+06,5.39233,5.46295,5.11355,5.04007
